300 41680
218 83 40
221 37 72
97 144 68
134 181 87
256 30 69
31 269 10
292 7 38
73 285 14
36 11 30
51 14 53
50 227 27
108 32 99
231 191 28
274 169 56
217 42 66
245 40 53
62 272 94
116 114 58
252 102 27
95 4 95
93 22 64
70 45 90
86 166 57
284 124 57
74 76 92
213 190 90
128 152 46
15 240 98
228 206 97
67 16 45
49 299 11
175 203 65
232 200 2
88 26 35
126 265 79
253 222 85
21 72 94
267 183 47
149 214 92
176 44 100
167 255 89
24 5 56
77 262 60
122 249 44
18 84 19
264 156 15
282 81 45
123 159 95
87 259 15
105 143 18
277 137 95
199 276 27
38 204 85
235 117 27
168 118 82
188 127 2
133 59 63
216 186 100
202 90 76
212 138 82
61 295 41
136 41 21
211 197 97
250 120 86
48 201 22
109 10 55
226 261 98
187 300 44
287 229 37
247 294 89
101 271 67
35 163 90
65 207 65
29 85 7
230 182 26
205 263 67
239 248 72
224 177 96
100 9 33
75 238 23
290 162 64
121 179 83
148 135 47
55 257 98
94 260 58
91 113 31
57 6 8
270 258 9
82 58 47
208 12 48
63 275 80
220 215 55
193 184 59
233 111 9
96 194 40
132 170 89
112 80 49
147 60 45
98 25 83
92 145 11
17 23 19
119 246 49
192 155 84
225 173 84
78 178 9
28 56 74
172 283 2
209 160 11
71 2 93
68 244 30
53 3 54
273 289 39
297 104 31
291 141 91
189 13 81
103 268 55
19 79 76
293 251 47
39 185 11
234 180 90
43 115 20
99 64 32
278 157 17
1 47 19
110 243 67
288 237 60
266 223 69
34 158 17
153 298 50
27 219 13
150 165 24
241 46 17
130 242 82
140 286 67
107 296 25
54 142 36
236 164 45
131 254 51
146 151 12
139 125 89
89 66 88
161 210 64
171 174 23
106 279 29
8 52 100
196 280 18
198 20 76
195 154 39
69 33 47
103 253 88
219 269 10
85 228 48
273 148 25
244 240 67
129 213 55
161 171 40
132 201 99
174 250 83
162 92 49
124 44 10
260 229 50
227 29 28
86 203 62
222 64 35
261 129 96
300 285 67
276 126 36
254 137 75
133 130 83
129 246 27
249 294 27
300 294 27
159 270 16
90 271 83
65 264 81
174 257 29
134 115 21
209 18 43
185 238 79
73 256 83
185 262 73
190 130 75
136 98 29
104 269 95
218 212 31
141 216 69
86 53 30
151 235 44
140 217 98
175 283 61
64 56 45
243 216 78
144 265 25
41 51 46
216 218 78
64 282 32
165 41 48
252 175 20
231 132 14
33 275 24
133 24 23
140 226 34
13 203 56
90 66 38
56 84 83
267 31 97
111 263 33
224 9 79
169 269 16
160 50 59
201 65 35
253 148 35
7 175 70
299 215 98
133 135 9
32 246 34
261 272 19
190 162 56
139 102 76
250 163 37
119 61 88
220 278 82
126 260 11
257 140 90
36 47 61
273 283 85
16 82 6
126 112 85
45 255 66
191 106 20
49 152 71
225 250 20
115 174 89
276 120 6
20 157 84
36 69 24
84 240 59
100 189 100
233 269 87
60 72 55
220 222 66
69 7 45
280 127 18
214 288 83
250 203 65
160 109 94
264 38 61
25 246 73
91 199 37
178 82 33
74 293 20
169 220 86
276 169 75
188 40 79
257 233 6
59 88 36
286 120 40
10 275 16
122 269 98
229 117 4
156 23 60
43 77 67
260 100 19
65 126 84
44 288 64
111 62 20
120 99 87
158 298 7
252 235 78
50 197 15
20 234 82
84 41 65
34 157 64
165 251 96
170 74 44
115 210 16
42 179 68
261 284 69
242 73 100
273 5 78
223 196 10
6 261 81
21 118 8
170 112 52
146 43 96
34 109 47
160 227 19
155 202 26
260 246 58
161 80 78
103 82 26
70 264 2
230 40 2
56 136 68
148 284 51
71 153 37
46 229 84
179 126 4
189 38 33
26 191 4
94 101 42
78 202 17
171 217 6
186 275 15
51 277 86
36 136 81
